person,name_x,party_x,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio,party_short,Last_name,Suffix,LastName,ID_NameParty,Pure_name,FirstName,first,last,party_y,donations2012,donations2014,donations2016,donations2018,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
412215,"Rep. Keith Ellison [D, 2007-2018]",Democrat,0.0,0.3333333333333333,0.4,,D, Keith Ellison ,Ellison,Ellison,KeithEllisonD, Keith Ellison ,Keith,,,,,,,,,,,,,,,,,,,,,,,
412219,"Rep. Carol Shea-Porter [D, 2013-2014]",Democrat,0.25,,,,D, Carol Shea-Porter ,Shea-Porter,Shea-Porter,CarolShea-PorterD, Carol Shea-Porter ,Carol,,,,,,,,,,,,,,,,,,,,,,,
412221,"Rep. Yvette Clarke [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0,D, Yvette Clarke ,Clarke,Clarke,YvetteClarkeD, Yvette Clarke ,Yvette,Yvette,Clarke,D,0.0,0.0,2000.0,3500.0,2045683.0,Q461679,Yvette_Clarke,Yvette D. Clarke,female,black,anglicanism,1964-11-21,,"40.67,-73.94",,4.0,True,True,True,True
412236,"Rep. Steve Cohen [D, 2007-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Steve Cohen ,Cohen,Cohen,SteveCohenD, Steve Cohen ,Steve,Steve,Cohen,D,,,,,1239533.0,Q512330,Steve_Cohen,Steve Cohen,male,white,,1949-05-24,,"35.1175,-89.97111",,4.0,True,True,True,True
412239,"Rep. Peter Welch [D, 2007-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Peter Welch ,Welch,Welch,PeterWelchD, Peter Welch ,Peter,Peter,Welch,D,,,,,5255966.0,Q1112656,Peter_Welch,Peter Welch,male,white,catholicism,1947-05-02,,"42.11241,-72.54745",,4.0,True,True,True,True
412254,"Rep. Niki Tsongas [D, 2013-2018]",Democrat,0.0,0.3333333333333333,0.8,,D, Niki Tsongas ,Tsongas,Tsongas,NikiTsongasD, Niki Tsongas ,Niki,,,,,,,,,,,,,,,,,,,,,,,
412257,"Rep. Bill Foster [D, 2013-2022]",Democrat,0.5,0.3333333333333333,0.8,1.0,D, Bill Foster ,Foster,Foster,BillFosterD, Bill Foster ,Bill,Bill,Foster,D,,,,,11728202.0,Q2903389,Bill_Foster_(politician),Bill Foster,male,white,,1955-10-07,,"43.07472,-89.38444",,4.0,True,True,True,True
412258,"Rep. André Carson [D, 2008-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, André Carson ,Carson,Carson,AndréCarsonD, André Carson ,André,André,Carson,D,,,,,30205998.0,Q517649,André_Carson,André Carson,male,black,islam,1974-10-16,,"39.76778,-86.15806",,4.0,True,True,True,True
412259,"Rep. Jackie Speier [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.4,1.0,D, Jackie Speier ,Speier,Speier,JackieSpeierD, Jackie Speier ,Jackie,Jackie,Speier,D,250.0,0.0,0.0,650.0,2070255.0,Q218544,Jackie_Speier,Jackie Speier,female,white,,1950-05-14,,"37.76667,-122.43333",,4.0,True,True,True,True
412263,"Rep. Donna Edwards [D, 2008-2016]",Democrat,0.0,0.6666666666666666,,,D, Donna Edwards ,Edwards,Edwards,DonnaEdwardsD, Donna Edwards ,Donna,,,,,,,,,,,,,,,,,,,,,,,
412272,"Rep. Gerald Connolly [D, 2009-2022]",Democrat,0.25,0.3333333333333333,0.8,1.0,D, Gerald Connolly ,Connolly,Connolly,GeraldConnollyD, Gerald Connolly ,Gerald,,,,,,,,,,,,,,,,,,,,,,,
412276,"Rep. Alan Grayson [D, 2013-2016]",Democrat,0.25,0.3333333333333333,,,D, Alan Grayson ,Grayson,Grayson,AlanGraysonD, Alan Grayson ,Alan,,,,,,,,,,,,,,,,,,,,,,,
412282,"Rep. James Himes [D, 2009-2022]",Democrat,0.5,0.3333333333333333,0.8,1.0,D, James Himes ,Himes,Himes,JamesHimesD, James Himes ,James,,,,,,,,,,,,,,,,,,,,,,,
412286,"Rep. Ann Kirkpatrick [D, 2013-2016]",Democrat,0.5,0.6666666666666666,,,D, Ann Kirkpatrick ,Kirkpatrick,Kirkpatrick,AnnKirkpatrickD, Ann Kirkpatrick ,Ann,,,,,,,,,,,,,,,,,,,,,,,
412293,"Rep. Ben Luján [D, 2009-2020]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Ben Luján ,Luján,Luján,BenLujánD, Ben Luján ,Ben,,,,,,,,,,,,,,,,,,,,,,,
412297,"Rep. Daniel Maffei [D, 2013-2014]",Democrat,0.5,,,,D, Daniel Maffei ,Maffei,Maffei,DanielMaffeiD, Daniel Maffei ,Daniel,,,,,,,,,,,,,,,,,,,,,,,
412305,"Rep. Gary Peters [D, 2013-2014]",Democrat,0.5,,,,D, Gary Peters ,Peters,Peters,GaryPetersD, Gary Peters ,Gary,,,,,,,,,,,,,,,,,,,,,,,
412307,"Rep. Chellie Pingree [D, 2009-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0,D, Chellie Pingree ,Pingree,Pingree,ChelliePingreeD, Chellie Pingree ,Chellie,Chellie,Pingree,D,,,,,1609874.0,Q457243,Chellie_Pingree,Chellie Pingree,female,white,protestantism evangelical,1955-04-02,,"44.9733,-93.2643",,4.0,True,True,True,True
412308,"Rep. Jared Polis [D, 2009-2018]",Democrat,0.5,0.3333333333333333,0.2,,D, Jared Polis ,Polis,Polis,JaredPolisD, Jared Polis ,Jared,,,,,,,,,,,,,,,,,,,,,,,
412315,"Rep. Kurt Schrader [D, 2009-2022]",Democrat,0.5,0.3333333333333333,0.8,0.5,D, Kurt Schrader ,Schrader,Schrader,KurtSchraderD, Kurt Schrader ,Kurt,Kurt,Schrader,D,,,,,16936033.0,Q1387868,Kurt_Schrader,Kurt Schrader,male,white,,1951-10-19,,"41.18333,-73.2",,4.0,True,True,True,True
412318,"Rep. Dina Titus [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Dina Titus ,Titus,Titus,DinaTitusD, Dina Titus ,Dina,Dina,Titus,D,,,,,2495543.0,Q524440,Dina_Titus,Dina Titus,female,white,,1950-05-23,,"30.8364,-83.9783",,4.0,True,True,True,True
