person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,Year_2012,Year_2014,Year_2016,Year_2018,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Disney_Donations_Diff,Bloomberg_Donations_Diff,Citadel_Donations_Diff
60,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-16750.0,-1000.0,-1000.0
60,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
60,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,6000.0,1000.0,1000.0
60,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,13250.0,1000.0,1000.0
61,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,1,0,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,0.0,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,0.0,0.75,1.0,1.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,TRAINING,,,
62,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,1500.0,0.0,0.0
62,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,-2500.0,0.0,0.0
62,0.0,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,1500.0,0.0,0.0
62,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
63,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,-1000.0,0.0,0.0
63,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,7500.0,0.0,0.0
63,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-3000.0,25.0,25.0
63,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
64,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
64,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
64,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
64,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
66,0.0,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,2600.0,0.0,0.0
66,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,10.0,200.0,200.0
66,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,-1008.0,-200.0,-200.0
66,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
67,0.0,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,0.0,1.0,0.3333333333333333,0.6,1.0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,0.0,0.7142857142857143,0.8888888888888888,0.25,0.6666666666666666,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,0.0,0.75,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
68,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
68,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
68,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
68,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
71,0.0,0.75,1.0,1.0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,TRAINING,,,
71,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
71,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,1,0,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
71,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
73,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,1,0,0,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
73,0.0,0.8,0.3333333333333333,0.6,0.25,0,1,0,1,0,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
73,0.0,0.42857142857142855,0.2222222222222222,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
73,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,TESTING,,,
74,0.0,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
74,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,TRAINING,1000.0,0.0,0.0
74,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
74,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
75,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
75,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1,0,0,0,0,1,0,0,1,0,0,0,1,0,TESTING,,,
75,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,1,0,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
