person,Year,party_short,donations_dollars,partyline_percent
22,2016,D,0.0,0.8
23,2016,D,0.0,0.4
24,2016,D,0.0,0.8
28,2016,D,0.0,0.4
30,2016,D,0.0,0.8
34,2016,D,0.0,0.6
37,2016,D,0.0,0.8
38,2016,D,0.0,0.8
39,2016,D,1000.0,0.2
40,2016,D,0.0,0.8
41,2016,D,0.0,0.8
42,2016,D,3300.0,0.8
43,2016,D,0.0,0.6
45,2016,D,0.0,0.6
46,2016,D,0.0,0.4
47,2016,D,0.0,0.8
48,2016,D,0.0,0.8
49,2016,D,0.0,0.6
52,2016,D,0.0,0.8
56,2016,D,1000.0,1.0
60,2016,D,19250.0,0.8
61,2016,D,0.0,0.6
62,2016,D,0.0,0.8
63,2016,D,7500.0,0.6
64,2016,D,0.0,0.8
66,2016,D,2610.0,0.6
67,2016,D,0.0,0.6
68,2016,D,0.0,0.8
71,2016,D,0.0,0.6
73,2016,D,1000.0,0.6
74,2016,D,1000.0,0.8
75,2016,D,0.0,0.6
77,2016,D,0.0,0.6
78,2016,D,5000.0,0.6
79,2016,D,0.0,0.8
80,2016,D,0.0,0.8
81,2016,D,0.0,0.6
82,2016,D,1000.0,0.8
84,2016,D,0.0,0.6
85,2016,D,0.0,0.6
86,2016,D,0.0,0.6
89,2016,D,0.0,0.6
90,2016,D,0.0,0.6
91,2016,D,0.0,0.8
94,2016,D,0.0,0.8
95,2016,D,6000.0,0.8
99,2016,D,0.0,0.8
101,2016,D,0.0,0.8
102,2016,D,0.0,0.8
103,2016,D,0.0,0.4
104,2016,D,0.0,0.6
106,2016,D,0.0,0.8
107,2016,D,0.0,0.6
108,2016,D,0.0,0.8
109,2016,D,0.0,0.8
110,2016,D,0.0,0.8
113,2016,D,0.0,0.8
114,2016,D,1000.0,0.6
115,2016,D,0.0,0.8
119,2016,D,2000.0,0.6
120,2016,D,0.0,0.6
121,2016,D,0.0,0.8
123,2016,D,0.0,0.8
124,2016,D,0.0,0.8
125,2016,D,0.0,0.4
134,2016,D,0.0,0.6
136,2016,D,0.0,0.8
137,2016,D,0.0,0.6
138,2016,D,0.0,0.8
139,2016,D,0.0,0.8
141,2016,D,2000.0,0.6
142,2016,D,0.0,0.8
145,2016,D,0.0,0.8
146,2016,D,2000.0,0.6
148,2016,D,0.0,0.8
150,2016,D,2500.0,0.6
151,2016,D,0.0,0.6
152,2016,D,1250.0,0.8
154,2016,D,0.0,0.8
156,2016,D,2500.0,0.8
157,2016,D,0.0,0.6
159,2016,D,0.0,0.6
160,2016,D,4200.0,0.8
161,2016,D,0.0,0.6
162,2016,D,2725.0,0.8
165,2016,D,800.0,0.8
166,2016,D,0.0,0.6
167,2016,D,0.0,0.6
168,2016,D,0.0,0.6
169,2016,D,3500.0,0.8
172,2016,D,0.0,
174,2016,D,31.0,0.8
178,2016,D,0.0,0.8
179,2016,D,0.0,0.6
182,2016,D,1000.0,0.8
185,2016,D,0.0,0.8
186,2016,D,250.0,0.8
187,2016,D,6400.0,0.6
188,2016,D,2700.0,0.8
191,2016,D,0.0,0.6
193,2016,D,0.0,0.6
194,2016,D,0.0,0.6
195,2016,D,1000.0,0.8
197,2016,D,0.0,0.6
198,2016,D,0.0,0.8
199,2016,D,500.0,0.6
200,2016,R,0.0,0.8
203,2016,R,0.0,0.6
205,2016,R,6000.0,0.8
206,2016,R,1000.0,0.8
207,2016,R,0.0,0.8
211,2016,R,0.0,0.8
212,2016,R,1000.0,0.6
214,2016,R,0.0,0.8
217,2016,R,0.0,0.8
226,2016,R,0.0,0.8
227,2016,R,0.0,0.6
233,2016,R,0.0,0.6
234,2016,R,0.0,0.8
235,2016,R,0.0,0.6
240,2016,R,0.0,0.8
247,2016,R,1000.0,0.8
252,2016,R,0.0,0.6
253,2016,R,0.0,
258,2016,R,0.0,0.4
260,2016,R,4000.0,0.8
261,2016,R,0.0,0.6
265,2016,R,0.0,0.8
268,2016,R,1500.0,0.8
269,2016,R,9000.0,0.8
271,2016,R,0.0,0.8
273,2016,R,0.0,0.8
280,2016,R,0.0,0.8
281,2016,R,0.0,0.6
282,2016,R,0.0,0.8
285,2016,R,0.0,0.2
287,2016,R,0.0,0.8
289,2016,R,0.0,0.8
295,2016,R,1750.0,0.8
296,2016,R,0.0,0.6
297,2016,R,0.0,0.6
299,2016,R,0.0,0.8
301,2016,R,0.0,0.8
302,2016,R,0.0,0.4
303,2016,R,0.0,1.0
307,2016,R,2500.0,0.8
312,2016,R,3500.0,0.8
314,2016,R,0.0,0.8
317,2016,R,0.0,0.8
319,2016,R,0.0,0.2
320,2016,R,2500.0,0.8
322,2016,R,0.0,0.4
326,2016,R,0.0,0.8
327,2016,R,500.0,0.8
329,2016,R,0.0,0.6
330,2016,R,0.0,0.6
331,2016,R,0.0,0.6
332,2016,R,0.0,0.4
333,2016,R,0.0,0.4
336,2016,R,0.0,0.8
338,2016,R,0.0,0.8
342,2016,R,2000.0,
344,2016,R,0.0,0.8
345,2016,R,0.0,0.8
347,2016,R,0.0,0.8
350,2016,R,0.0,0.8
357,2016,R,0.0,0.8
358,2016,R,0.0,0.2
360,2016,R,0.0,0.6
361,2016,R,0.0,0.6
369,2016,R,2000.0,0.8
370,2016,R,0.0,0.8
372,2016,R,0.0,0.8
374,2016,R,0.0,0.6
376,2016,R,1750.0,0.8
378,2016,R,0.0,0.4
383,2016,R,0.0,0.6
386,2016,R,0.0,0.8
390,2016,R,0.0,0.6
391,2016,R,0.0,0.8
392,2016,R,0.0,0.8
393,2016,R,0.0,0.6
395,2016,R,0.0,0.6
396,2016,R,0.0,0.0
398,2016,R,0.0,0.6
399,2016,R,0.0,0.8
401,2016,R,0.0,0.4
403,2016,R,1000.0,0.8
404,2016,R,0.0,0.8
405,2016,R,0.0,0.8
406,2016,R,2000.0,0.8
410,2016,R,2500.0,0.8
412,2016,R,1000.0,0.8
414,2016,R,0.0,0.2
415,2016,R,1000.0,
417,2016,R,0.0,0.8
418,2016,R,0.0,0.8
419,2016,R,0.0,0.8
421,2016,R,0.0,0.6
422,2016,R,0.0,0.4
424,2016,R,0.0,0.6
426,2016,R,0.0,0.6
427,2016,R,0.0,0.4
428,2016,R,1500.0,0.6
430,2016,R,0.0,0.8
432,2016,D,0.0,0.6
433,2016,D,0.0,0.8
505,2016,D,0.0,0.8
536,2016,R,2000.0,0.6
540,2016,R,1000.0,0.4
588,2016,D,0.0,
654,2016,R,0.0,
656,2016,R,0.0,
660,2016,R,0.0,
4,2018,D,1000.0,1.0
10,2018,D,1000.0,1.0
12,2018,D,0.0,1.0
14,2018,D,3700.0,
15,2018,D,0.0,1.0
16,2018,D,0.0,1.0
17,2018,D,0.0,1.0
18,2018,D,0.0,1.0
19,2018,D,80.0,1.0
21,2018,D,0.0,1.0
22,2018,D,0.0,
23,2018,D,0.0,1.0
24,2018,D,0.0,1.0
28,2018,D,0.0,1.0
30,2018,D,0.0,1.0
34,2018,D,2000.0,1.0
37,2018,D,0.0,0.5
38,2018,D,0.0,1.0
39,2018,D,0.0,1.0
40,2018,D,0.0,1.0
41,2018,D,0.0,1.0
42,2018,D,0.0,1.0
43,2018,D,1177.0,1.0
45,2018,D,3061.0,0.5
46,2018,D,0.0,0.5
47,2018,D,0.0,1.0
48,2018,D,0.0,1.0
49,2018,D,0.0,1.0
52,2018,D,0.0,1.0
56,2018,D,0.0,1.0
60,2018,D,2500.0,1.0
61,2018,D,0.0,0.5
62,2018,D,1500.0,1.0
63,2018,D,4500.0,1.0
64,2018,D,0.0,1.0
66,2018,D,1602.0,1.0
67,2018,D,0.0,1.0
68,2018,D,0.0,1.0
71,2018,D,0.0,0.5
73,2018,D,1000.0,1.0
74,2018,D,1000.0,1.0
75,2018,D,0.0,1.0
77,2018,D,0.0,1.0
78,2018,D,40020.0,1.0
79,2018,D,0.0,1.0
80,2018,D,0.0,1.0
81,2018,D,0.0,0.5
82,2018,D,0.0,1.0
84,2018,D,0.0,1.0
85,2018,D,0.0,1.0
86,2018,D,0.0,1.0
89,2018,D,0.0,1.0
90,2018,D,0.0,1.0
91,2018,D,2000.0,1.0
94,2018,D,0.0,1.0
95,2018,D,3515.0,1.0
99,2018,D,0.0,1.0
101,2018,D,0.0,1.0
102,2018,D,0.0,1.0
103,2018,D,0.0,1.0
104,2018,D,0.0,1.0
106,2018,D,0.0,1.0
107,2018,D,0.0,1.0
108,2018,D,0.0,1.0
109,2018,D,0.0,1.0
110,2018,D,0.0,1.0
113,2018,D,5.0,1.0
114,2018,D,0.0,1.0
115,2018,D,0.0,1.0
119,2018,D,3500.0,1.0
120,2018,D,0.0,1.0
121,2018,D,0.0,1.0
123,2018,D,0.0,1.0
124,2018,D,0.0,1.0
125,2018,D,650.0,1.0
134,2018,D,0.0,1.0
136,2018,D,0.0,0.5
137,2018,D,0.0,1.0
138,2018,D,0.0,1.0
139,2018,D,0.0,1.0
141,2018,D,1000.0,1.0
142,2018,D,5400.0,1.0
145,2018,D,0.0,1.0
146,2018,D,500.0,1.0
148,2018,D,0.0,0.5
150,2018,D,10000.0,1.0
151,2018,D,0.0,1.0
152,2018,D,2550.0,1.0
154,2018,D,0.0,1.0
156,2018,D,0.0,1.0
157,2018,D,0.0,1.0
159,2018,D,0.0,1.0
160,2018,D,0.0,1.0
161,2018,D,0.0,1.0
162,2018,D,5272.0,1.0
165,2018,D,0.0,1.0
166,2018,D,0.0,1.0
167,2018,D,0.0,1.0
168,2018,D,0.0,1.0
169,2018,D,3005.0,1.0
172,2018,D,0.0,
174,2018,D,170.0,1.0
178,2018,D,15.0,1.0
179,2018,D,0.0,1.0
182,2018,D,25.0,1.0
185,2018,D,0.0,1.0
186,2018,D,1000.0,1.0
187,2018,D,5435.0,1.0
188,2018,D,0.0,1.0
191,2018,D,0.0,1.0
193,2018,D,0.0,1.0
194,2018,D,0.0,1.0
195,2018,D,500.0,1.0
197,2018,D,0.0,1.0
198,2018,D,0.0,1.0
199,2018,D,0.0,1.0
200,2018,R,0.0,0.0
203,2018,R,0.0,0.0
205,2018,R,5000.0,0.0
206,2018,R,0.0,0.0
207,2018,R,0.0,0.0
211,2018,R,0.0,0.0
212,2018,R,0.0,0.0
214,2018,R,0.0,0.0
217,2018,R,0.0,0.0
226,2018,R,0.0,0.0
227,2018,R,0.0,0.0
233,2018,R,0.0,
234,2018,R,0.0,0.5
235,2018,R,0.0,0.0
240,2018,R,0.0,0.0
247,2018,R,2601.0,0.0
252,2018,R,0.0,0.5
253,2018,R,0.0,
258,2018,R,0.0,0.0
260,2018,R,1000.0,0.0
261,2018,R,0.0,0.0
265,2018,R,0.0,0.0
268,2018,R,1500.0,0.0
269,2018,R,10000.0,0.0
271,2018,R,0.0,0.0
273,2018,R,0.0,0.0
280,2018,R,0.0,0.0
281,2018,R,0.0,0.0
282,2018,R,0.0,0.0
285,2018,R,0.0,0.0
287,2018,R,0.0,0.0
289,2018,R,0.0,0.0
295,2018,R,13000.0,0.0
296,2018,R,0.0,0.0
297,2018,R,0.0,0.0
299,2018,R,0.0,0.0
301,2018,R,0.0,0.0
302,2018,R,0.0,0.0
303,2018,R,0.0,0.0
307,2018,R,2950.0,0.0
312,2018,R,2000.0,0.0
314,2018,R,0.0,
317,2018,R,0.0,0.0
319,2018,R,50.0,0.0
320,2018,R,1000.0,0.0
322,2018,R,0.0,0.0
326,2018,R,0.0,
327,2018,R,0.0,0.0
329,2018,R,2000.0,0.0
330,2018,R,0.0,0.0
331,2018,R,0.0,0.0
332,2018,R,0.0,0.0
333,2018,R,0.0,0.0
336,2018,R,0.0,0.0
338,2018,R,0.0,0.0
342,2018,R,1000.0,
344,2018,R,0.0,0.0
345,2018,R,0.0,0.0
347,2018,R,0.0,0.0
350,2018,R,0.0,0.0
357,2018,R,0.0,0.0
358,2018,R,0.0,
360,2018,R,0.0,0.0
361,2018,R,0.0,0.0
