party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
D,1000.0,0.8,25.0,0.7215,TESTING,1
D,25.0,1.0,,0.7215,TESTING,1
D,0.0,0.8,0.0,0.2454,TRAINING,1
D,0.0,1.0,,0.2454,TRAINING,1
D,0.0,0.25,0.0,0.2454,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2454,TRAINING,1
D,250.0,0.0,0.0,0.8996,TESTING,1
D,0.0,0.3333333333333333,250.0,0.8996,TESTING,1
D,250.0,0.8,1000.0,0.8996,TESTING,1
D,1000.0,1.0,,0.8996,TESTING,1
D,0.0,0.75,5200.0,0.2731,TRAINING,1
D,5200.0,0.3333333333333333,6400.0,0.2731,TRAINING,1
D,6400.0,0.6,5435.0,0.2731,TRAINING,1
D,5435.0,1.0,,0.2731,TRAINING,1
D,0.0,1.0,,0.8154,TESTING,1
D,1000.0,0.25,0.0,0.8154,TESTING,1
D,0.0,0.3333333333333333,2700.0,0.8154,TESTING,1
D,2700.0,0.8,0.0,0.8154,TESTING,1
D,0.0,0.6,0.0,0.9762,TESTING,1
D,0.0,1.0,,0.9762,TESTING,1
D,500.0,0.0,0.0,0.9762,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9762,TESTING,1
D,0.0,0.6,0.0,0.5056,TRAINING,1
D,0.0,1.0,,0.5056,TRAINING,1
D,0.0,0.25,0.0,0.5056,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.5056,TRAINING,1
D,0.0,0.6,0.0,0.811,TESTING,1
D,0.0,1.0,,0.811,TESTING,1
D,0.0,0.25,0.0,0.811,TESTING,1
D,0.0,0.3333333333333333,0.0,0.811,TESTING,1
D,0.0,0.5,0.0,0.384,TRAINING,1
D,0.0,0.3333333333333333,1000.0,0.384,TRAINING,1
D,1000.0,0.8,500.0,0.384,TRAINING,1
D,500.0,1.0,,0.384,TRAINING,1
D,2500.0,0.0,0.0,0.1028,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.1028,TRAINING,1
D,0.0,0.6,0.0,0.1028,TRAINING,1
D,0.0,1.0,,0.1028,TRAINING,1
D,0.0,0.25,0.0,0.7385,TESTING,1
