House Vote #151 2015-04-14T17:55:00 - H.R. 650: Preserving Access to Manufactured Housing Act of 2015
person,state,district,vote,name,party
412488,WI,7,Yea,"Rep. Sean Duffy [R, 2011-2019]",Republican
412489,WI,8,Yea,"Rep. Reid Ribble [R, 2011-2016]",Republican
412498,CA,44,Nay,"Rep. Janice Hahn [D, 2013-2016]",Democrat
412500,NV,2,Yea,"Rep. Mark Amodei [R, 2011-2022]",Republican
412501,OR,1,Nay,"Rep. Suzanne Bonamici [D, 2012-2022]",Democrat
412503,KY,4,Yea,"Rep. Thomas Massie [R, 2012-2022]",Republican
412505,WA,1,Nay,"Rep. Suzan DelBene [D, 2012-2022]",Democrat
412506,NJ,10,Nay,"Rep. Donald Payne Jr. [D, 2012-2022]",Democrat
412509,AZ,9,Yea,"Rep. Kyrsten Sinema [D, 2013-2018]",Democrat
412510,CA,1,Yea,"Rep. Doug LaMalfa [R, 2013-2022]",Republican
412511,CA,2,Nay,"Rep. Jared Huffman [D, 2013-2022]",Democrat
412512,CA,7,Nay,"Rep. Ami Bera [D, 2013-2022]",Democrat
412513,CA,8,Yea,"Rep. Paul Cook [R, 2013-2020]",Republican
412514,CA,15,Nay,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
412515,CA,21,Yea,"Rep. David Valadao [R, 2013-2018]",Republican
412516,CA,26,Nay,"Rep. Julia Brownley [D, 2013-2022]",Democrat
412517,CA,29,Nay,"Rep. Tony Cárdenas [D, 2013-2022]",Democrat
412519,CA,36,Not Voting,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
412520,CA,41,Nay,"Rep. Mark Takano [D, 2013-2022]",Democrat
412521,CA,47,Nay,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
412522,CA,51,Nay,"Rep. Juan Vargas [D, 2013-2022]",Democrat
412523,CA,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat
412524,CT,5,Nay,"Rep. Elizabeth Esty [D, 2013-2018]",Democrat
412525,FL,3,Yea,"Rep. Ted Yoho [R, 2013-2020]",Republican
412526,FL,6,Yea,"Rep. Ron DeSantis [R, 2013-2018]",Republican
412527,FL,18,Nay,"Rep. Patrick Murphy [D, 2013-2016]",Democrat
412529,FL,22,Nay,"Rep. Lois Frankel [D, 2013-2016]",Democrat
412531,GA,9,Yea,"Rep. Doug Collins [R, 2013-2020]",Republican
412532,HI,2,Nay,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
412533,IL,8,Nay,"Rep. Tammy Duckworth [D, 2013-2016]",Democrat
412536,IL,13,Yea,"Rep. Rodney Davis [R, 2013-2022]",Republican
412537,IL,17,Nay,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
412538,IN,2,Yea,"Rep. Jackie Walorski [R, 2013-2022]",Republican
412539,IN,5,Yea,"Rep. Susan Brooks [R, 2013-2020]",Republican
412540,IN,6,Yea,"Rep. Luke Messer [R, 2013-2018]",Republican
412541,KY,6,Yea,"Rep. Garland “Andy” Barr [R, 2013-2022]",Republican
