pageid,party_x,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018
5203142,R,Q978618,Tim_Walberg,Tim Walberg,male,white,,1951-04-12,,"41.88194,-87.62778",,4,True,True,True,True,Tim,Walberg,TimWalbergR,,,,,,,,,,
404905,D,Q434893,Betty_McCollum,Betty McCollum,female,white,catholicism,1954-07-12,,"44.9733,-93.2643",,4,True,True,True,True,Betty,McCollum,BettyMcCollumD,,,,,,,,,,
493581,D,Q434458,Collin_Peterson,Collin C. Peterson,male,white,protestantism lutheran,1944-06-29,,"46.87722,-96.78944",,4,True,True,True,True,Collin,Peterson,CollinPetersonD,,,,,,,,,,
699361,D,Q817877,Bennie_Thompson,Bennie G. Thompson,male,black,protestantism methodist,1948-01-28,,"32.3517,-90.46",,4,True,True,True,True,Bennie,Thompson,BennieThompsonD,D,0.0,0.0,0.0,25.0,D,0.0,0.0,0.0,25.0
27586261,R,Q24230,Steven_Palazzo,Steven Palazzo,male,white,,1970-02-21,,"30.4,-89.06667",,4,True,True,True,True,Steven,Palazzo,StevenPalazzoR,,,,,,,,,,
409204,D,Q959455,Lacy_Clay,"William Lacy Clay, Jr.",male,white,catholicism,1956-07-27,,"38.61667,-90.2",,4,True,True,True,True,William,Jr.,WilliamJr.D,,,,,,,,,,
2592512,R,Q3917251,Ann_Wagner,Ann Wagner,female,white,,1962-09-13,,"38.61667,-90.2",,4,True,True,True,True,Ann,Wagner,AnnWagnerR,,,,,,,,,,
19976669,R,Q522181,Blaine_Luetkemeyer,Blaine Luetkemeyer,male,white,,1952-05-07,,"38.57667,-92.17361",,4,True,True,True,True,Blaine,Luetkemeyer,BlaineLuetkemeyerR,,,,,,,,,,
25663335,R,Q375389,Vicky_Hartzler,Vicky Hartzler,female,white,,1960-10-13,,"38.4825,-94.3525",,4,True,True,True,True,Vicky,Hartzler,VickyHartzlerR,,,,,,,,,,
1160411,D,Q1334654,Emanuel_Cleaver,Emanuel Cleaver,male,black,protestantism methodist,1944-10-26,,"32.39972,-96.84722",,4,True,True,True,True,Emanuel,Cleaver,EmanuelCleaverD,,,,,,,,,,
961504,R,Q465638,Sam_Graves,Sam Graves,male,white,protestantism baptist,1963-11-07,,"40.4411,-95.3828",,4,True,True,True,True,Sam,Graves,SamGravesR,,,,,,,,,,
29477282,R,Q863171,Billy_Long,Bill Long,male,white,protestantism reformed,1955-08-11,,"37.195,-93.28611",,4,True,True,True,True,Bill,Long,BillLongR,,,,,,,,,,
30501036,R,Q6163589,Jason_Smith_(politician),Jason T. Smith,male,white,,1980-06-16,,"38.61667,-90.2",,4,True,True,True,True,Jason,Smith,JasonSmithR,,,,,,,,,,
