person,Year,party_short,ethnicity,sex,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,Bloomberg_Donations,Citadel_Donations,Bloomberg_donations_lagMinus1,Citadel_donations_lagMinus1
46,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
47,2012,D,hispanic,male,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
47,2014,D,hispanic,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
47,2016,D,hispanic,male,0.6,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
47,2018,D,hispanic,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
48,2012,D,white,male,0.5,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
48,2014,D,white,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
48,2016,D,white,male,0.8,0.5714285714285714,0.6666666666666666,0.25,0.3333333333333333,0.0,0.0,0.0,0.0
48,2018,D,white,male,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
49,2012,D,white,female,0.5,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
49,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
49,2016,D,white,female,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
49,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
50,2012,D,white,female,0.0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
50,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
50,2016,D,white,female,0.6,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
50,2018,D,white,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
51,2012,R,white,male,0.75,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
51,2014,R,white,male,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
51,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
51,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
52,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
52,2014,R,white,male,0.6666666666666666,0.4,0.3333333333333333,0.4,0.75,0.0,0.0,0.0,0.0
52,2016,R,white,male,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
52,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
53,2012,D,white,male,0.75,0.5,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
53,2014,D,white,male,0.0,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
53,2016,D,white,male,0.8,0.2857142857142857,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
53,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
54,2012,D,white,male,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0
54,2014,D,white,male,0.3333333333333333,0.6,0.3333333333333333,0.2,0.25,0.0,0.0,0.0,0.0
54,2016,D,white,male,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
54,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
55,2012,D,white,male,0.0,0.5,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0
55,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
55,2016,D,white,male,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
55,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
56,2012,D,white,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0
56,2014,D,white,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
56,2016,D,white,female,0.8,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
56,2018,D,white,female,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
57,2012,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0
57,2014,0,white,male,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0
57,2016,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2018,0,white,male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
58,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
58,2014,R,white,male,0.6666666666666666,0.4,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
58,2016,R,white,male,0.4,0.7142857142857143,0.8888888888888888,0.75,1.0,0.0,0.0,0.0,0.0
58,2018,R,white,male,0.0,0.25,0.3333333333333333,1.0,0.0,0.0,0.0,,
59,2012,R,white,male,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.0,0.0,0.0,0.0
