person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
124,2012-01-01,D,0.0,0.25,0.0,0.6863,TESTING,1
124,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6863,TESTING,1
124,2016-01-01,D,0.0,0.8,0.0,0.6863,TESTING,1
124,2018-01-01,D,0.0,1.0,,0.6863,TESTING,1
125,2012-01-01,D,250.0,0.0,0.0,0.7916,TESTING,1
125,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7916,TESTING,1
125,2016-01-01,D,0.0,0.4,650.0,0.7916,TESTING,1
125,2018-01-01,D,650.0,1.0,,0.7916,TESTING,1
134,2018-01-01,D,0.0,1.0,,0.8529,TESTING,1
134,2012-01-01,D,0.0,0.0,0.0,0.8529,TESTING,1
134,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8529,TESTING,1
134,2016-01-01,D,0.0,0.6,0.0,0.8529,TESTING,1
136,2018-01-01,D,0.0,0.5,,0.0878,TRAINING,1
136,2016-01-01,D,0.0,0.8,0.0,0.0878,TRAINING,1
136,2012-01-01,D,0.0,0.5,0.0,0.0878,TRAINING,1
136,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0878,TRAINING,1
137,2012-01-01,D,0.0,0.25,0.0,0.9268,TESTING,1
137,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9268,TESTING,1
137,2016-01-01,D,0.0,0.6,0.0,0.9268,TESTING,1
137,2018-01-01,D,0.0,1.0,,0.9268,TESTING,1
138,2012-01-01,D,0.0,0.25,0.0,0.4887,TRAINING,1
138,2014-01-01,D,0.0,0.3333333333333333,0.0,0.4887,TRAINING,1
138,2016-01-01,D,0.0,0.8,0.0,0.4887,TRAINING,1
138,2018-01-01,D,0.0,1.0,,0.4887,TRAINING,1
139,2018-01-01,D,0.0,1.0,,0.4859,TRAINING,1
139,2016-01-01,D,0.0,0.8,0.0,0.4859,TRAINING,1
139,2014-01-01,D,0.0,0.3333333333333333,0.0,0.4859,TRAINING,1
139,2012-01-01,D,0.0,0.25,0.0,0.4859,TRAINING,1
141,2012-01-01,D,2000.0,0.25,3000.0,0.6331,TESTING,1
141,2014-01-01,D,3000.0,0.3333333333333333,2000.0,0.6331,TESTING,1
141,2016-01-01,D,2000.0,0.6,1000.0,0.6331,TESTING,1
141,2018-01-01,D,1000.0,1.0,,0.6331,TESTING,1
142,2012-01-01,D,2000.0,0.75,2000.0,0.8571,TESTING,1
142,2014-01-01,D,2000.0,0.3333333333333333,0.0,0.8571,TESTING,1
142,2016-01-01,D,0.0,0.8,5400.0,0.8571,TESTING,1
142,2018-01-01,D,5400.0,1.0,,0.8571,TESTING,1
145,2016-01-01,D,0.0,0.8,0.0,0.8684,TESTING,1
145,2018-01-01,D,0.0,1.0,,0.8684,TESTING,1
145,2012-01-01,D,0.0,0.75,0.0,0.8684,TESTING,1
145,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8684,TESTING,1
146,2018-01-01,D,500.0,1.0,,0.7208,TESTING,1
146,2016-01-01,D,2000.0,0.6,500.0,0.7208,TESTING,1
146,2014-01-01,D,6050.0,0.3333333333333333,2000.0,0.7208,TESTING,1
146,2012-01-01,D,0.0,0.0,6050.0,0.7208,TESTING,1
148,2012-01-01,D,0.0,0.25,0.0,0.5276,TRAINING,1
148,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5276,TRAINING,1
148,2016-01-01,D,0.0,0.8,0.0,0.5276,TRAINING,1
148,2018-01-01,D,0.0,0.5,,0.5276,TRAINING,1
150,2012-01-01,D,0.0,0.5,1000.0,0.2062,TRAINING,1
150,2014-01-01,D,1000.0,0.3333333333333333,2500.0,0.2062,TRAINING,1
150,2016-01-01,D,2500.0,0.6,10000.0,0.2062,TRAINING,1
150,2018-01-01,D,10000.0,1.0,,0.2062,TRAINING,1
151,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0064,TRAINING,1
151,2012-01-01,D,0.0,0.25,0.0,0.0064,TRAINING,1
151,2016-01-01,D,0.0,0.6,0.0,0.0064,TRAINING,1
151,2018-01-01,D,0.0,1.0,,0.0064,TRAINING,1
152,2018-01-01,D,2550.0,1.0,,0.8006,TESTING,1
152,2016-01-01,D,1250.0,0.8,2550.0,0.8006,TESTING,1
152,2012-01-01,D,2000.0,0.0,500.0,0.8006,TESTING,1
152,2014-01-01,D,500.0,0.3333333333333333,1250.0,0.8006,TESTING,1
154,2018-01-01,D,0.0,1.0,,0.2568,TRAINING,1
154,2012-01-01,D,0.0,0.0,0.0,0.2568,TRAINING,1
154,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2568,TRAINING,1
154,2016-01-01,D,0.0,0.8,0.0,0.2568,TRAINING,1
156,2016-01-01,D,2500.0,0.8,0.0,0.5463,TRAINING,1
156,2018-01-01,D,0.0,1.0,,0.5463,TRAINING,1
156,2012-01-01,D,0.0,0.25,1500.0,0.5463,TRAINING,1
156,2014-01-01,D,1500.0,0.3333333333333333,2500.0,0.5463,TRAINING,1
157,2018-01-01,D,0.0,1.0,,0.2027,TRAINING,1
157,2016-01-01,D,0.0,0.6,0.0,0.2027,TRAINING,1
157,2012-01-01,D,0.0,0.0,0.0,0.2027,TRAINING,1
