person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
50,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.9167,TESTING
50,2012,0.0,0.25,0.5,0.3333333333333333,0.5714285714285714,1.0,0.0,,0,1,0,0,0,0,0,1,1,0,0.9167,TESTING
50,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.9167,TESTING
51,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.9998,TESTING
51,2016,0.0,0.6,0.2857142857142857,0.3333333333333333,0.25,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.9998,TESTING
51,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.9998,TESTING
51,2012,0.0,0.25,0.5,0.0,0.7142857142857143,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.9998,TESTING
54,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.0189,TRAINING
54,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.0189,TRAINING
54,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.0189,TRAINING
54,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.0189,TRAINING
58,2012,0.0,0.5,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,1,0,0,0,0,1,0,0.2734,TRAINING
58,2014,0.0,0.6666666666666666,0.6,0.3333333333333333,0.4,0.5,1000.0,0.0,0,1,0,1,0,0,0,0,1,0,0.2734,TRAINING
58,2016,1000.0,1.0,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0.2734,TRAINING
58,2018,0.0,1.0,1.0,1.0,1.0,1.0,,1000.0,0,1,0,1,0,0,0,0,1,0,0.2734,TRAINING
