first,last,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,pageid,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
Andy,Barr,R,,,,,,,,,37570631.0,Q3828645,Andy_Barr_(American_politician),Andy Barr,male,white,,1973-07-24,,"38.02972,-84.49472",,4.0,True,True,True,True
Cedric,Richmond,D,,,,,,,,,26323292.0,Q561284,Cedric_Richmond,Cedric Richmond,male,black,,1973-09-13,,"29.96667,-90.05",,4.0,True,True,True,True
Chellie,Pingree,D,,,,,,,,,1609874.0,Q457243,Chellie_Pingree,Chellie Pingree,female,white,protestantism evangelical,1955-04-02,,"44.9733,-93.2643",,4.0,True,True,True,True
Andrew,Harris,R,,,,,,,,,9338058.0,Q506639,Andy_Harris_(politician),Andrew Harris,male,white,,1957-01-25,,"40.69278,-73.99028",,4.0,True,True,True,True
Dutch,Ruppersberger,D,,,,,,,,,414531.0,Q981559,Dutch_Ruppersberger,Dutch Ruppersberger,male,white,protestantism methodist,1946-01-31,,"39.28639,-76.615",,4.0,True,True,True,True
John,Sarbanes,D,,,,,,,,,3227358.0,Q984509,John_Sarbanes,John Sarbanes,male,white,,1962-05-22,,"39.28639,-76.615",,4.0,True,True,True,True
Steny,Hoyer,D,,,,,,,,,414552.0,Q516515,Steny_Hoyer,Steny H. Hoyer,male,white,protestantism baptist,1939-06-14,,"40.67,-73.94",,4.0,True,True,True,True
Elijah,Cummings,D,,,,,,,,,414574.0,Q934898,Elijah_Cummings,Elijah Cummings,male,black,protestantism baptist,1951-01-18,,"39.28639,-76.615",,4.0,True,True,True,True
Richard,Neal,D,,,,,,,,,440800.0,Q1464697,Richard_Neal,Richard E. Neal,male,white,catholicism,1949-02-14,,"42.11241,-72.54745",,4.0,True,True,True,True
Jim,McGovern,D,,,,,,,,,440807.0,Q1337459,Jim_McGovern_(American_politician),Jim McGovern,male,white,catholicism,1959-11-20,,"42.27139,-71.79889",,4.0,True,True,True,True
Joseph,III,D,,,,,,,,,34500244.0,Q1707784,Joe_Kennedy_III,Joseph P. Kennedy III,male,white,,1980-10-04,,"42.35,-71.16",,4.0,True,True,True,True
Katherine,Clark,D,,,,,,,,,29642899.0,Q6376330,Katherine_Clark,Katherine Clark,female,white,,1963-07-17,,"41.30833,-72.925",,4.0,True,True,True,True
Stephen,Lynch,D,,,,,,,,,440836.0,Q2344921,Stephen_F._Lynch,Stephen Lynch,male,white,catholicism,1955-03-31,,"42.35778,-71.06167",,4.0,True,True,True,True
William,Keating,D,,,,,,,,,25616173.0,Q775412,Bill_Keating_(politician),William Keating,male,white,,1952-09-06,,"42.19444,-71.2",,4.0,True,True,True,True
Bill,Huizenga,R,,,,,,,,,21118339.0,Q862199,Bill_Huizenga,Bill Huizenga,male,white,,1969-01-31,,"42.8125,-86.01861",,4.0,True,True,True,True
Justin,Amash,R,,,,,,,,,27476249.0,Q1714165,Justin_Amash,Justin Amash,male,white,,1980-04-18,,"42.96125,-85.65572",,4.0,True,True,True,True
Dan,Kildee,D,,,,,,,,,37018031.0,Q3880272,Dan_Kildee,Dan Kildee,male,white,,1958-08-11,,"43.01889,-83.69333",,4.0,True,True,True,True
Fred,Upton,R,,,,,,,,,468360.0,Q505236,Fred_Upton,Fred Upton,male,white,protestantism,1953-04-23,,"42.09806,-86.48417",,4.0,True,True,True,True
Tim,Walberg,R,,,,,,,,,5203142.0,Q978618,Tim_Walberg,Tim Walberg,male,white,,1951-04-12,,"41.88194,-87.62778",,4.0,True,True,True,True
Betty,McCollum,D,,,,,,,,,404905.0,Q434893,Betty_McCollum,Betty McCollum,female,white,catholicism,1954-07-12,,"44.9733,-93.2643",,4.0,True,True,True,True
Collin,Peterson,D,,,,,,,,,493581.0,Q434458,Collin_Peterson,Collin C. Peterson,male,white,protestantism lutheran,1944-06-29,,"46.87722,-96.78944",,4.0,True,True,True,True
Steven,Palazzo,R,,,,,,,,,27586261.0,Q24230,Steven_Palazzo,Steven Palazzo,male,white,,1970-02-21,,"30.4,-89.06667",,4.0,True,True,True,True
William,Jr.,D,,,,,,,,,409204.0,Q959455,Lacy_Clay,"William Lacy Clay, Jr.",male,white,catholicism,1956-07-27,,"38.61667,-90.2",,4.0,True,True,True,True
Ann,Wagner,R,,,,,,,,,2592512.0,Q3917251,Ann_Wagner,Ann Wagner,female,white,,1962-09-13,,"38.61667,-90.2",,4.0,True,True,True,True
Blaine,Luetkemeyer,R,,,,,,,,,19976669.0,Q522181,Blaine_Luetkemeyer,Blaine Luetkemeyer,male,white,,1952-05-07,,"38.57667,-92.17361",,4.0,True,True,True,True
