person,state,district,vote,name,party
412578,TX,25,Nay,"Rep. Roger Williams [R, 2013-2022]",Republican
412579,TX,33,Yea,"Rep. Marc Veasey [D, 2013-2022]",Democrat
412580,TX,34,Yea,"Rep. Filemon Vela [D, 2013-2022]",Democrat
412581,UT,2,Nay,"Rep. Chris Stewart [R, 2013-2022]",Republican
412583,WA,6,Yea,"Rep. Derek Kilmer [D, 2013-2022]",Democrat
412584,WA,10,Yea,"Rep. Denny Heck [D, 2013-2020]",Democrat
412585,WI,2,Yea,"Rep. Mark Pocan [D, 2013-2022]",Democrat
412595,IL,2,Yea,"Rep. Robin Kelly [D, 2013-2022]",Democrat
412596,MO,8,Nay,"Rep. Jason Smith [R, 2013-2022]",Republican
412600,MA,5,Yea,"Rep. Katherine Clark [D, 2013-2022]",Democrat
412601,AL,1,Nay,"Rep. Bradley Byrne [R, 2014-2020]",Republican
412606,NJ,1,Yea,"Rep. Donald Norcross [D, 2014-2022]",Democrat
412607,NC,12,Yea,"Rep. Alma Adams [D, 2014-2022]",Democrat
412608,AL,6,Nay,"Rep. Gary Palmer [R, 2015-2022]",Republican
412609,AR,2,Nay,"Rep. French Hill [R, 2015-2022]",Republican
412610,AR,4,Nay,"Rep. Bruce Westerman [R, 2015-2022]",Republican
412612,AZ,7,Yea,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
412613,CA,11,Not Voting,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
412615,CA,31,Yea,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
412616,CA,33,Not Voting,"Rep. Ted Lieu [D, 2015-2022]",Democrat
412617,CA,35,Yea,"Rep. Norma Torres [D, 2015-2022]",Democrat
412619,CO,4,Nay,"Rep. Ken Buck [R, 2015-2022]",Republican
412622,GA,1,Nay,"Rep. Earl “Buddy” Carter [R, 2015-2022]",Republican
412623,GA,10,Nay,"Rep. Jody Hice [R, 2015-2022]",Republican
412624,GA,11,Nay,"Rep. Barry Loudermilk [R, 2015-2022]",Republican
412625,GA,12,Nay,"Rep. Rick Allen [R, 2015-2022]",Republican
412629,IL,12,Nay,"Rep. Mike Bost [R, 2015-2022]",Republican
412630,LA,5,Nay,"Rep. Ralph Abraham [R, 2015-2020]",Republican
412631,LA,6,Nay,"Rep. Garret Graves [R, 2015-2022]",Republican
